Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/leaderboard.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/table-formatter.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/get-session-summary.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/create-session.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/logout/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/notifications/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Login/Login.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/SignUp/SignUp.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/profile.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/badges.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/home/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/requests.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/feed.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/PageSpinner/PageSpinner.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/constants/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/login-interactive.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/settings/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/store/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/testing/passwordValidation.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/calculateHistoryStatistics.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/BadgeCollection/BadgeCollection.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Navbar/Navbar.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/logout.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/types/leaderboard.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/action.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/friends.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/profile.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/feed.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FindFriends/FindFriends.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/badges/Badges.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/settings/action.spec.ts,true,""
